Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Date,Time,Hour,TotalPrice
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,2009-12-01 07:45:00,6.95,13085,United Kingdom,2009-12-01,07:45:00,7,83.4
489434,79323P,PINK CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,13085,United Kingdom,2009-12-01,07:45:00,7,81
489434,79323W,WHITE CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,13085,United Kingdom,2009-12-01,07:45:00,7,81
489434,22041,"RECORD FRAME 7"" SINGLE SIZE",48,2009-12-01 07:45:00,2.1,13085,United Kingdom,2009-12-01,07:45:00,7,100.8
489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2009-12-01 07:45:00,1.25,13085,United Kingdom,2009-12-01,07:45:00,7,30
489434,22064,PINK DOUGHNUT TRINKET POT,24,2009-12-01 07:45:00,1.65,13085,United Kingdom,2009-12-01,07:45:00,7,39.6
489434,21871,SAVE THE PLANET MUG,24,2009-12-01 07:45:00,1.25,13085,United Kingdom,2009-12-01,07:45:00,7,30
489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,2009-12-01 07:45:00,5.95,13085,United Kingdom,2009-12-01,07:45:00,7,59.5
489435,22350,CAT BOWL,12,2009-12-01 07:46:00,2.55,13085,United Kingdom,2009-12-01,07:46:00,7,30.6
489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,2009-12-01 07:46:00,3.75,13085,United Kingdom,2009-12-01,07:46:00,7,45
489435,22195,HEART MEASURING SPOONS LARGE,24,2009-12-01 07:46:00,1.65,13085,United Kingdom,2009-12-01,07:46:00,7,39.6
489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES,12,2009-12-01 07:46:00,2.55,13085,United Kingdom,2009-12-01,07:46:00,7,30.6
489436,48173C,DOOR MAT BLACK FLOCK,10,2009-12-01 09:06:00,5.95,13078,United Kingdom,2009-12-01,09:06:00,9,59.5
489436,21755,LOVE BUILDING BLOCK WORD,18,2009-12-01 09:06:00,5.45,13078,United Kingdom,2009-12-01,09:06:00,9,98.1
489436,21754,HOME BUILDING BLOCK WORD,3,2009-12-01 09:06:00,5.95,13078,United Kingdom,2009-12-01,09:06:00,9,17.85
489436,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2009-12-01 09:06:00,1.69,13078,United Kingdom,2009-12-01,09:06:00,9,27.04
489436,22119,PEACE WOODEN BLOCK LETTERS,3,2009-12-01 09:06:00,6.95,13078,United Kingdom,2009-12-01,09:06:00,9,20.85
489436,22142,CHRISTMAS CRAFT WHITE FAIRY,12,2009-12-01 09:06:00,1.45,13078,United Kingdom,2009-12-01,09:06:00,9,17.4
489436,22296,HEART IVORY TRELLIS LARGE,12,2009-12-01 09:06:00,1.65,13078,United Kingdom,2009-12-01,09:06:00,9,19.8
489436,22295,HEART FILIGREE DOVE LARGE,12,2009-12-01 09:06:00,1.65,13078,United Kingdom,2009-12-01,09:06:00,9,19.8
489436,22109,FULL ENGLISH BREAKFAST PLATE,16,2009-12-01 09:06:00,3.39,13078,United Kingdom,2009-12-01,09:06:00,9,54.24
489436,22107,PIZZA PLATE IN BOX,4,2009-12-01 09:06:00,3.75,13078,United Kingdom,2009-12-01,09:06:00,9,15
489436,22194,BLACK DINER WALL CLOCK,2,2009-12-01 09:06:00,8.5,13078,United Kingdom,2009-12-01,09:06:00,9,17
489436,35004B,SET OF 3 BLACK FLYING DUCKS,12,2009-12-01 09:06:00,4.65,13078,United Kingdom,2009-12-01,09:06:00,9,55.8
489436,82582,AREA PATROLLED METAL SIGN,12,2009-12-01 09:06:00,2.1,13078,United Kingdom,2009-12-01,09:06:00,9,25.2
489436,21181,PLEASE ONE PERSON METAL SIGN,12,2009-12-01 09:06:00,2.1,13078,United Kingdom,2009-12-01,09:06:00,9,25.2
489436,21756,BATH BUILDING BLOCK WORD,3,2009-12-01 09:06:00,5.95,13078,United Kingdom,2009-12-01,09:06:00,9,17.85
489436,21333,CLASSIC WHITE FRAME,6,2009-12-01 09:06:00,2.95,13078,United Kingdom,2009-12-01,09:06:00,9,17.7
489436,84596F,SMALL MARSHMALLOWS PINK BOWL,8,2009-12-01 09:06:00,1.25,13078,United Kingdom,2009-12-01,09:06:00,9,10
489436,84596L,BISCUITS SMALL BOWL LIGHT BLUE,8,2009-12-01 09:06:00,1.25,13078,United Kingdom,2009-12-01,09:06:00,9,10
489436,22111,SCOTTIE DOG HOT WATER BOTTLE,24,2009-12-01 09:06:00,4.25,13078,United Kingdom,2009-12-01,09:06:00,9,102
489437,22143,CHRISTMAS CRAFT HEART DECORATIONS,6,2009-12-01 09:08:00,2.1,15362,United Kingdom,2009-12-01,09:08:00,9,12.6
489437,22145,CHRISTMAS CRAFT HEART STOCKING,6,2009-12-01 09:08:00,2.1,15362,United Kingdom,2009-12-01,09:08:00,9,12.6
489437,22130,PARTY CONE CHRISTMAS DECORATION,12,2009-12-01 09:08:00,0.85,15362,United Kingdom,2009-12-01,09:08:00,9,10.2
489437,21364,PEACE SMALL WOOD LETTERS,2,2009-12-01 09:08:00,6.75,15362,United Kingdom,2009-12-01,09:08:00,9,13.5
489437,21360,JOY LARGE WOOD LETTERS,1,2009-12-01 09:08:00,9.95,15362,United Kingdom,2009-12-01,09:08:00,9,9.95
489437,21351,CINAMMON & ORANGE WREATH,2,2009-12-01 09:08:00,6.75,15362,United Kingdom,2009-12-01,09:08:00,9,13.5
489437,21352,EUCALYPTUS & PINECONE WREATH,2,2009-12-01 09:08:00,6.75,15362,United Kingdom,2009-12-01,09:08:00,9,13.5
489437,35400,WOODEN BOX ADVENT CALENDAR,2,2009-12-01 09:08:00,8.95,15362,United Kingdom,2009-12-01,09:08:00,9,17.9
